genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.996006,35.557107
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.991511,35.554876
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.877699,35.530087
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.840299,35.537896
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.840288,35.537896
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.836374,35.576997
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.830181,35.540225
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.817279,35.503961
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.808574,35.543552
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.808343,35.644278
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.806495,35.643861
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.793422,35.577568
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.773079,35.58176
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.772295,35.581409
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.752956,35.538941
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.747395,35.634688
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.654926,35.690952
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.646975,35.444374
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.644072,35.590313
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.644031,35.590413
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.598549,35.453116
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.543159,35.611622
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.526055,35.700099
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.5115,35.511927
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.510368,35.475544
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.508993,35.480954
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.507715,35.495141
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.395088,35.4999
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.394223,35.492679
Astilbe_biternata,Astilbe  biternata,4198,Appalachian False GoatÆs-beard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.394173,35.493203
