genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.936449,35.612082
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.936071,35.610496
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.935916,35.607454
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.935903,35.61133
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.93589,35.60795
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.933104,35.610848
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.932902,35.610447
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.932622,35.610959
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.928644,35.605684
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.924908,35.514809
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.924884,35.620899
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.838747,35.587333
Carphophis_amoenus_amoenus,Carphophis  amoenus amoenus,7162,Eastern Wormsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.835971,35.581837
